,search,visits,guests,clicks,active,costs,predictions
0,бишкек яндекс такси для водителей,1,1,1,0,"14,517",яндекс +для водителей
1,городе бишкек кыргызстан работа яндекс такси сколько зарабатывает яндекс такси водителей,1,1,1,0,"10,269",яндекс такси работа водителем
2,как подключить яндекс такси бишкек,1,1,1,1,"9,762","""подключить яндекс такси"""
3,как работает яндекс такси,1,1,1,0,"7,249","""яндекс такси работать"""
4,как устроится службу яндекс такси без своей машины,1,1,1,0,"9,911",яндекс такси +на +своей машине
5,как устроиться в яндекс такси,1,1,1,0,"14,705","""устроиться водителем в яндекс такси"""
6,как устроиться в яндекс такси без машины в бишкеке,1,1,1,0,"11,515","""работа в яндекс такси Бишкек"""
7,как устроиться в яндекс такси в бишкеке,1,1,1,0,"8,553","""работа в яндекс такси Бишкек"""
8,как устроиться в яндекс такси на своем авто в бишкеке,1,1,1,0,"7,064","""работа в яндекс на своем авто"""
9,как устроиться в яндекс такси на своем авто кыргызстане,0,0,1,0,"13,084","""яндекс такси на своем авто"""
10,как устроиться яндекс такси,2,2,2,0,"13,605",устроиться яндекс такси
11,программа яндекс такси для водителей,1,1,1,0,"14,302",яндекс +для водителей
12,работа в яндекс такси,1,1,2,0,"20,13","""работа в яндекс такси"""
13,работа в яндекс такси в бишкеке,1,1,1,0,"15,134","""работа в яндекс такси Бишкек"""
14,работа в яндекс такси на своем авто,1,1,1,0,"11,301",работа +в яндекс +на +своем авто
15,работа на яндекс такси в бишкеке,0,0,1,0,"13,713",работа +в яндекс такси Бишкек
16,работа яндекс такси в бишкеке,4,3,2,0,"33,699","""работа в яндекс такси Бишкек"""
17,работа яндекс такси россии,1,1,1,0,"6,2","""работа яндекс такси"""
18,регистрация водителей в яндекс такси бишкек,1,1,1,0,"9,135","""водитель в яндекс такси"""
19,скачать яндекс такси на телефон водитель,1,1,1,0,"12,891","""водитель яндекс такси"""
20,стать таксистом яндекс такси бишкек,1,1,1,0,"8,019",стать яндекс таксистом
21,схема работы яндекс такси,1,1,1,0,"17,313","""работа яндекс такси"""
22,требуются водители в яндекс такси бишкек,1,1,1,0,"5,8","""водитель в яндекс такси"""
23,требуются водители яндекс такси,1,1,1,0,"13,35","""водитель яндекс такси"""
24,условия работы в яндекс такси в бишкеке,1,1,1,0,"13,083",условия работы +в яндекс такси
25,условия работы в яндекс такси на авто,1,1,1,0,"8,66",условия работы +в яндекс такси
26,устройство на работу в яндекс такси бишкеке,1,1,1,0,"23,466","""работа в яндекс такси Бишкек"""
27,хочешь устраивать водителей в яндекс такси,1,1,1,0,"9,285",водитель +в яндекс такси
28,я хочу работать яндекс такси бишкек,1,1,1,0,"9,683",яндекс такси работать
29,яндекс водитель такси,0,0,1,0,"13,805","""водитель яндекс такси"""
30,яндекс такси бишкек вакансии,1,1,1,0,"14,016",яндекс такси Бишкек вакансии
31,яндекс такси бишкек водитель,1,1,1,0,"12,027","""водитель яндекс такси"""
32,яндекс такси бишкек работ,1,1,1,0,"27,258","""яндекс такси Бишкек работа"""
33,яндекс такси бишкек работа,1,1,1,0,"12,142","""яндекс такси Бишкек работа"""
34,яндекс такси в бишкеке для водителей,3,1,3,1,"18,496",водитель +в яндекс такси
35,яндекс такси в бишкеке набор водителей,0,0,1,0,"8,601",водитель +в яндекс такси
36,яндекс такси в бишкеке работа,2,1,2,1,"41,701",яндекс такси Бишкек работа -!в
37,яндекс такси в бишкеке стать таксистом,1,1,1,0,"8,464",яндекс такси Бишкек работа -!в
38,яндекс такси в бишкеке устроиться,0,0,2,0,"23,905",яндекс такси Бишкек работа -!в
39,яндекс такси в водителям,1,1,1,0,"2,744",водитель яндекс такси -!в
40,яндекс такси в москве работа,1,1,1,0,"9,387","""работа в яндекс такси"""
41,яндекс такси информация для водителей,1,1,1,0,"17,184",яндекс +для водителей
42,яндекс такси работа,1,1,1,0,"4,495","""работа яндекс такси"""
43,яндекс такси работа бишкек,2,1,2,0,"15,62","""яндекс такси Бишкек работа"""
44,яндекс такси работа в бишкеке,1,1,1,0,"10,31",яндекс такси Бишкек работа -!в
45,яндекс такси регистрация водителей без лицензии,0,0,1,0,"20,474","""водитель яндекс такси"""
